exp_id,model_id,model_path,test_type,input_file,output_file,sr,in_peak,in_rms,out_peak,out_rms,notes
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_keyboard.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_keyboard__birds_pluma_b2048_r48000_z12.wav,48000,1.000000,0.038327,1.362192,0.046713,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking_2.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_ambient_talking_2__birds_pluma_b2048_r48000_z12.wav,48000,1.000000,0.052027,1.000000,0.022945,call=m(x)
E02_pretrained_rave_nature_prior,birds_pluma_b2048_r48000_z12,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_pluma_b2048_r48000_z12.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_pluma_b2048_r48000_z12/office_talking__birds_pluma_b2048_r48000_z12.wav,48000,0.979034,0.047580,1.000000,0.026461,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_ambient_talking__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.589783,0.024434,0.227933,0.014231,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking_2.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_ambient_talking_2__birds_dawnchorus_b2048_r48000_z8.wav,48000,1.000000,0.052027,0.823246,0.014408,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_keyboard.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_keyboard__birds_dawnchorus_b2048_r48000_z8.wav,48000,1.000000,0.038327,1.174105,0.015850,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_quiet__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.053925,0.008896,0.051041,0.008159,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_quiet_clicking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_quiet_clicking__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.191559,0.016070,0.182334,0.013678,call=m(x)
E02_pretrained_rave_nature_prior,birds_dawnchorus_b2048_r48000_z8,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_dawnchorus_b2048_r48000_z8.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_dawnchorus_b2048_r48000_z8/office_talking__birds_dawnchorus_b2048_r48000_z8.wav,48000,0.979034,0.047580,0.522443,0.019146,call=m(x)
E02_pretrained_rave_nature_prior,birds_motherbird_b2048_r48000_z16,/home/shruti/rave-biophilic-sound-engine/experiments/E02_pretrained_rave_nature_prior/models/iil_ts/birds_motherbird_b2048_r48000_z16.ts,C_office_through_model,/home/shruti/rave-biophilic-sound-engine/data/test/input/office_ambient_talking.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed/birds_motherbird_b2048_r48000_z16/office_ambient_talking__birds_motherbird_b2048_r48000_z16.wav,48000,0.589783,0.024434,0.491202,0.025100,call=m(x)
