model_id,reference_class,input_file,output_file,distance_input,distance_output,delta_distance,envelope_correlation,artifact_score
birds_dawnchorus_b2048_r48000_z8,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_talking_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_dawnchorus_b2048_r48000_z8/office_talking_seg005__birds_dawnchorus_b2048_r48000_z8.wav,644.099572392161,658.8739240772155,14.774351685054512,0.6066129495272865,27.1480641817755
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_2_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2_seg000__birds_motherbird_b2048_r48000_z16.wav,502.93284477523633,490.8828123158084,-12.050032459427939,0.7816238085234382,43.428964547642686
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_2_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2_seg001__birds_motherbird_b2048_r48000_z16.wav,596.2765317029605,319.1588370958074,-277.11769460715306,0.7367606732220892,60.94486637693103
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_2_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2_seg002__birds_motherbird_b2048_r48000_z16.wav,891.1990536735264,304.34311091544794,-586.8559427580784,,17.512655049126245
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_2_seg003.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2_seg003__birds_motherbird_b2048_r48000_z16.wav,891.1990536735264,298.550064675733,-592.6489889977934,,27.678468472202567
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_2_seg004.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2_seg004__birds_motherbird_b2048_r48000_z16.wav,891.1990536735264,293.5201924531154,-597.6788612204109,,16.107585520564196
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_2_seg005.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_2_seg005__birds_motherbird_b2048_r48000_z16.wav,891.1990536735264,292.56332409419423,-598.6357295793321,,17.984684143210263
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_seg000.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_seg000__birds_motherbird_b2048_r48000_z16.wav,687.3493690540233,629.8276202675947,-57.52174878642859,0.10259393715300484,21.961852023168895
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_seg001.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_seg001__birds_motherbird_b2048_r48000_z16.wav,626.0582037248845,592.0942098848906,-33.96399383999392,0.6076735151552021,25.180921100429323
birds_motherbird_b2048_r48000_z16,birds,/home/shruti/rave-biophilic-sound-engine/data/test/input_eval/office_ambient_talking_seg002.wav,/home/shruti/rave-biophilic-sound-engine/data/test/transformed_eval/birds_motherbird_b2048_r48000_z16/office_ambient_talking_seg002__birds_motherbird_b2048_r48000_z16.wav,668.8912194420055,619.4492883464835,-49.44193109552202,0.38445586510660046,9.578938676082021
